levers;code;make;model;year;KOD
MRV-racing;YAM.8.5;YAMAHA;FZR 1000 EXUP;1991-1995;
MRV-racing;YAM.17.1;YAMAHA;MT-01;2004-2009 ;
MRV-racing;YAM.16.1;YAMAHA;MT-03;2006-2014;
MRV-racing;YAM.7.4;YAMAHA;MT-07 / FZ-7;2014-2016;
MRV-racing;YAM.7.5;YAMAHA;MT-09 / SR / FZ-09 (no FJ-09);2013-2015;
MRV-racing;YAM.1.7;YAMAHA;RD 350 N;1985-1988;
MRV-racing;YAM.1.5;YAMAHA;RD 500 LC;all years;
MRV-racing;YAM.11.1;YAMAHA;TDM 900;2002-2004;
MRV-racing;YAM.10.1;YAMAHA;TDM 900;2005-2012;
MRV-racing;YAM.15.1;YAMAHA;TMAX 500 XP;2001-2006;
MRV-racing;YAM.23.1;YAMAHA;TMAX 500 XP;2007-2009;
MRV-racing;YAM.23.2;YAMAHA;TMAX 530 XP;2012-2014;
MRV-racing;YAM.17.2;YAMAHA;V-MAX 1700;2009-2016;
MRV-racing;YAM.7.6;YAMAHA;XJ6 DIVERSION;2009-2015;
MRV-racing;YAM.8.2;YAMAHA;XJR 1200;1995-1998;
MRV-racing;YAM.8.3;YAMAHA;XJR 1300;1999-2003;
MRV-racing;YAM.9.3;YAMAHA;XJR 1300  / RACER;2004-2016;
MRV-racing;YAM.7.8;YAMAHA;XSR 700 ABS;2016;
MRV-racing;YAM.7.9;YAMAHA;XSR 900 ABS;2016;
MRV-racing;YAM.6.6;YAMAHA;XT 350;1985-1995;
MRV-racing;YAM.6.1;YAMAHA;XT 660 R / X ;2004-2011;
MRV-racing;YAM.9.2;YAMAHA;XT 1200 ZE SUPERTENERE;2012-2016;
MRV-racing;YAM.6.2;YAMAHA;XTZ 660 H / N TENERE;1991-1999;
MRV-racing;YAM.6.7;YAMAHA;XTZ 750 SUPER TENERE;1989-1997;
MRV-racing;YAM.7.10;YAMAHA;XV 950 RACER;2016;
MRV-racing;YAM.13.2;YAMAHA;YBR 125;2005-2008;
MRV-racing;YAM.3.1;YAMAHA;YZF 600 R THUNDERCAT;1996-2007;
MRV-racing;YAM.8.4;YAMAHA;YZF 750 R;1993-1998;
MRV-racing;YAM.8.6;YAMAHA;YZF 1000 R THUNDERACE;all years;
MRV-racing;YAM.2.1;YAMAHA;YZF R1;1999-2001 ;
MRV-racing;YAM.1.2;YAMAHA;YZF R1;2002-2003;
MRV-racing;YAM.4.2;YAMAHA;YZF R1;2004-2008 ;
MRV-racing;YAM.5.1;YAMAHA;YZF R1;2009-2014 ;
MRV-racing;YAM.19.1;YAMAHA;YZF R3;2014-2015;
MRV-racing;YAM.1.1;YAMAHA;YZF R6 ;1999-2004 ;
MRV-racing;YAM.4.1;YAMAHA;YZF R6;2005-2016;
MRV-racing;YAM.4.3;YAMAHA;YZF R6S CANADA version;2006;
MRV-racing;YAM.1.6;YAMAHA;YZF R6S CANADA version;2007-2009;
MRV-racing;YAM.4.4;YAMAHA;YZF R6S EUROPE version;2006-2007;
MRV-racing;YAM.1.4;YAMAHA;YZF R6S USA version;2006-2009;
MRV-racing;YAM.12.1;YAMAHA;"YZF-R125 / 125R 
(version with no clutch sensor)";2008-2011 ;
MRV-racing;YAM.12.2;YAMAHA;"YZF-R125 / 125R 
(version with clutch sensor)";2008-2011 ;
